Suburb,Postcode,Lat,Lng,Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
Abbeyard,3737,-36.8466834,146.6962857,607,,,,,,,,,,,,,,,,
Abbotsford,3067,-37.8023601,144.9983623,627,,,,,,,,,,,,,,,,
Aberfeldie,3040,-37.7493029,144.9006313,647,,,,,,,,,,,,,,,,
Acheron,3714,-37.1872994,145.6245586,667,,,,,,,,,,,,,,,,
Ada,3833,-37.7865626,146.0696009,52097,,,,,,,,,,,,,,,,
Adams Estate,3984,-38.3114378,145.5579927,677,,,,,,,,,,,,,,,,
Agnes,3962,-38.6183432,146.3488562,707,,,,,,,,,,,,,,,,
Aire Valley,3237,-38.6505708,143.4554195,47547,,,,,,,,,,,,,,,,
Aireys Inlet,3231,-38.451657,144.0521131,737,,,,,,,,,,,,,,,,
Airport West,3042,-37.7245197,144.8758725,757,,,,,,,,,,,,,,,,
Albacutya,3424,-35.8357024,141.9791849,777,,,,,,,,,,,,,,,,
Albanvale,3021,-37.7435941,144.8016402,787,,,,,,,,,,,,,,,,
Albert Park,3206,-37.8460268,144.9584302,797,,,,,,,,,,,,,,,,
Albion,3020,-37.7791149,144.823628,837,,,,,,,,,,,,,,,,
Alexandra,3714,-37.1872994,145.6245586,857,,,,,,,,,,,,,,,,
Allambee,3823,-38.2245094,146.0584482,907,,,,,,,,,,,,,,,,
Allambee Reserve,3871,-38.4049813,146.1812023,937,,,,,,,,,,,,,,,,
Allambee South,3871,-38.4049813,146.1812023,957,,,,,,,,,,,,,,,,
Allansford,3277,-38.4034955,142.6814062,977,,,,,,,,,,,,,,,,
Allestree,3305,-38.290126,141.4706543,997,,,,,,,,,,,,,,,,
Almonds,3727,-36.2467001,145.958135,1017,,,,,,,,,,,,,,,,
Almurta,3979,-38.4509941,145.6134608,1027,,,,,,,,,,,,,,,,
Alphington,3078,-37.7824868,145.0190242,1047,,,,,,,,,,,,,,,,
Altona,3018,-37.859343,144.8126334,1057,,,,,,,,,,,,,,,,
Altona Meadows,3028,-37.8760399,144.7796581,1127,,,,,,,,,,,,,,,,
Altona North,3025,-37.8388686,144.8346241,1137,,,,,,,,,,,,,,,,
Amherst,3371,-37.2153546,143.6718623,1157,,,,,,,,,,,,,,,,
Amor,3825,-38.0474021,146.2929381,1167,,,,,,,,,,,,,,,,
Amphitheatre,3468,-37.1974706,143.4122052,1187,,,,,,,,,,,,,,,,
Anakie,3213,-37.9873525,144.2811537,146777,,,,,,,,,,,,,,,,
Ancona,3715,-36.9771194,145.7356129,1217,,,,,,,,,,,,,,,,
Anglers Rest,3898,-37.022052,147.5079912,1237,,,,,,,,,,,,,,,,
Anglesea,3230,-38.3850062,144.1501922,1247,,,,,,,,,,,,,,,,
Annuello,3549,-34.7552395,142.7455935,1267,,,,,,,,,,,,,,,,
Antwerp,3414,-36.314886,142.0639245,1277,,,,,,,,,,,,,,,,
Apollo Bay,3233,-38.7494709,143.6285244,1287,,,,,,,,,,,,,,,,
Apsley,3319,-36.8910613,141.0540674,1347,,,,,,,,,,,,,,,,
Arapiles,3409,-36.8127092,141.8100218,1357,,,,,,,,,,,,,,,,
Arawata,3951,-38.5195374,145.7356129,1397,,,,,,,,,,,,,,,,
Arcadia,3631,-36.4324574,145.4693163,1427,,,,,,,,,,,,,,,,
Arcadia South,3631,-36.4324574,145.4693163,1437,,,,,,,,,,,,,,,,
Archdale,3475,-36.6942531,143.5202874,1447,,,,,,,,,,,,,,,,
Archdale Junction,3475,-36.6942531,143.5202874,1457,,,,,,,,,,,,,,,,
Archies Creek,3995,-38.6238593,145.6023644,1487,,,,,,,,,,,,,,,,
Ardeer,3022,-37.7776716,144.7988921,1507,,,,,,,,,,,,,,,,
Ardmona,3629,-36.2976747,145.2922335,1537,,,,,,,,,,,,,,,,
Areegra,3480,-36.3286415,142.9170407,1557,,,,,,,,,,,,,,,,
Argyle,3523,-36.8919051,144.7412036,1567,,,,,,,,,,,,,,,,
Armadale,3143,-37.857253,145.0190242,1587,,,,,,,,,,,,,,,,
Armstrong Creek,3217,-38.2617284,144.3248554,104197,,,,,,,,,,,,,,,,
Arthurs Creek,3099,-37.5885255,145.2148736,1677,,,,,,,,,,,,,,,,
Arthurs Seat,3936,-38.3352183,144.9942305,1687,,,,,,,,,,,,,,,,
Ascot Vale,3032,-37.7773364,144.9006313,1757,,,,,,,,,,,,,,,,
Ashbourne,3442,-37.3324774,144.5437205,1777,,,,,,,,,,,,,,,,
Ashburton,3147,-37.8675054,145.0906914,1787,,,,,,,,,,,,,,,,
Ashwood,3147,-37.8675054,145.0906914,1807,,,,,,,,,,,,,,,,
Aspendale,3195,-38.0005492,145.1044805,1817,,,,,,,,,,,,,,,,
